% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.16	1	5	17	1	54	20	161	1
0.161	1	6	17	2	97	20	161	0
0.161	1	2	17	2	100	20	161	0
0.161	1	3	17	2	62	20	161	1
0.161	1	11	17	2	69	20	161	1
0.162	1	9	17	3	102	20	161	0
0.162	1	1	17	3	1	20	161	0
0.162	1	8	17	3	75	20	161	1
0.162	1	15	17	3	82	20	161	1
0.163	1	10	17	4	14	20	161	0
0.163	1	12	17	4	26	20	161	0
0.163	1	7	17	4	88	20	161	1
0.163	1	4	17	4	93	20	161	1
0.164	1	14	17	5	35	20	161	0
0.164	1	13	17	5	43	20	161	0
0.164	1	6	17	5	97	20	161	1
0.164	1	2	17	5	100	20	161	1
0.165	1	5	17	6	54	20	161	0
0.165	1	3	17	6	62	20	161	0
0.165	1	9	17	6	102	20	161	1
0.165	1	1	17	6	1	20	161	1
0.166	1	11	17	7	69	20	161	0
0.166	1	8	17	7	75	20	161	0
0.166	1	10	17	7	14	20	161	1
0.166	1	12	17	7	26	20	161	1
0.167	1	15	17	8	82	20	161	0
0.167	1	7	17	8	88	20	161	0
0.167	1	14	17	8	35	20	161	1
0.167	1	13	17	8	43	20	161	1
0.168	1	4	17	9	93	20	161	0
0.168	1	6	17	9	97	20	161	0
0.168	1	5	17	9	54	20	161	1
0.168	1	3	17	9	62	20	161	1
0.169	1	2	17	10	100	20	161	0
0.169	1	9	17	10	102	20	161	0
0.169	1	11	17	10	69	20	161	1
0.169	1	8	17	10	75	20	161	1
0.17	1	1	18	1	1	20	161	0
0.17	1	10	18	1	14	20	161	0
0.17	1	15	18	1	82	20	161	1
0.17	1	7	18	1	88	20	161	1
0.171	1	12	18	2	26	20	161	0
0.171	1	14	18	2	35	20	161	0
0.171	1	4	18	2	93	20	161	1
0.171	1	6	18	2	97	20	161	1
0.172	1	13	18	3	43	20	161	0
0.172	1	5	18	3	54	20	161	0
0.172	1	2	18	3	100	20	161	1
0.172	1	9	18	3	102	20	161	1
0.173	1	3	18	4	62	20	161	0
0.173	1	11	18	4	69	20	161	0
0.173	1	1	18	4	1	20	161	1
0.173	1	10	18	4	14	20	161	1
0.174	1	8	18	5	75	20	161	0
0.174	1	15	18	5	82	20	161	0
0.174	1	12	18	5	26	20	161	1
0.174	1	14	18	5	35	20	161	1
0.175	1	7	18	6	88	20	161	0
0.175	1	4	18	6	93	20	161	0
0.175	1	13	18	6	43	20	161	1
0.175	1	5	18	6	54	20	161	1
0.176	1	6	18	7	97	20	161	0
0.176	1	2	18	7	100	20	161	0
0.176	1	3	18	7	62	20	161	1
0.176	1	11	18	7	69	20	161	1
0.177	1	9	18	8	102	20	161	0
0.177	1	1	18	8	1	20	161	0
0.177	1	8	18	8	75	20	161	1
0.177	1	15	18	8	82	20	161	1
0.178	1	10	18	9	14	20	161	0
0.178	1	12	18	9	26	20	161	0
0.178	1	7	18	9	88	20	161	1
0.178	1	4	18	9	93	20	161	1
0.179	1	14	18	10	35	20	161	0
0.179	1	13	18	10	43	20	161	0
0.179	1	6	18	10	97	20	161	1
0.179	1	2	18	10	100	20	161	1
0.18	1	5	19	1	54	20	161	0
0.18	1	3	19	1	62	20	161	0
0.18	1	9	19	1	102	20	161	1
0.18	1	1	19	1	1	20	161	1
0.181	1	11	19	2	69	20	161	0
0.181	1	8	19	2	75	20	161	0
0.181	1	10	19	2	14	20	161	1
0.181	1	12	19	2	26	20	161	1
0.182	1	15	19	3	82	20	161	0
0.182	1	7	19	3	88	20	161	0
0.182	1	14	19	3	35	20	161	1
