% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
197	2	3	62	0	20	161	0	1	1
198	1	9	102	0	20	161	0	1	0
198	1	1	1	0	20	161	0	1	0
198	2	15	82	0	20	161	0	1	1
198	2	8	75	0	20	161	0	1	1
199	1	10	14	0	20	161	0	1	0
199	1	12	26	0	20	161	0	1	0
199	2	4	93	0	20	161	0	1	1
199	2	7	88	0	20	161	0	1	1
200	1	14	35	0	20	161	0	1	0
200	1	13	43	0	20	161	0	1	0
200	2	2	100	0	20	161	0	1	1
200	2	6	97	0	20	161	0	1	1
201	1	5	54	0	20	161	0	1	0
201	1	3	62	0	20	161	0	1	0
201	2	1	1	0	20	161	0	1	1
201	2	9	102	0	20	161	0	1	1
202	1	8	75	0	20	161	0	1	0
202	1	11	69	0	20	161	0	1	0
202	2	12	26	0	20	161	0	1	1
202	2	10	14	0	20	161	0	1	1
203	1	7	88	0	20	161	0	1	0
203	1	15	82	0	20	161	0	1	0
203	2	13	43	0	20	161	0	1	1
203	2	14	35	0	20	161	0	1	1
204	1	6	97	0	20	161	0	1	0
204	1	4	93	0	20	161	0	1	0
204	2	3	62	0	20	161	0	1	1
204	2	5	54	0	20	161	0	1	1
205	1	9	102	0	20	161	0	1	0
205	1	2	100	0	20	161	0	1	0
205	2	11	69	0	20	161	0	1	1
205	2	8	75	0	20	161	0	1	1
206	1	10	14	0	20	161	0	1	0
206	1	1	1	0	20	161	0	1	0
206	2	15	82	0	20	161	0	1	1
206	2	7	88	0	20	161	0	1	1
207	1	12	26	0	20	161	0	1	0
207	1	14	35	0	20	161	0	1	0
207	2	4	93	0	20	161	0	1	1
207	2	6	97	0	20	161	0	1	1
208	1	5	54	0	20	161	0	1	0
208	1	13	43	0	20	161	0	1	0
208	2	2	100	0	20	161	0	1	1
208	2	9	102	0	20	161	0	1	1
209	1	3	62	0	20	161	0	1	0
209	1	11	69	0	20	161	0	1	0
209	2	1	1	0	20	161	0	1	1
209	2	10	14	0	20	161	0	1	1
210	1	15	82	0	20	161	0	1	0
210	1	8	75	0	20	161	0	1	0
210	2	12	26	0	20	161	0	1	1
210	2	14	35	0	20	161	0	1	1
211	1	7	88	0	20	161	0	1	0
211	1	4	93	0	20	161	0	1	0
211	2	13	43	0	20	161	0	1	1
211	2	5	54	0	20	161	0	1	1
212	1	6	97	0	20	161	0	1	0
212	1	2	100	0	20	161	0	1	0
212	2	11	69	0	20	161	0	1	1
212	2	3	62	0	20	161	0	1	1
213	1	9	102	0	20	161	0	1	0
213	1	1	1	0	20	161	0	1	0
213	2	15	82	0	20	161	0	1	1
213	2	8	75	0	20	161	0	1	1
214	1	10	14	0	20	161	0	1	0
214	1	12	26	0	20	161	0	1	0
214	2	4	93	0	20	161	0	1	1
214	2	7	88	0	20	161	0	1	1
215	1	14	35	0	20	161	0	1	0
215	1	13	43	0	20	161	0	1	0
215	2	2	100	0	20	161	0	1	1
215	2	6	97	0	20	161	0	1	1
216	1	5	54	0	20	161	0	1	0
216	1	3	62	0	20	161	0	1	0
216	2	1	1	0	20	161	0	1	1
216	2	9	102	0	20	161	0	1	1
217	1	8	75	0	20	161	0	1	0
217	1	11	69	0	20	161	0	1	0
217	2	12	26	0	20	161	0	1	1
217	2	10	14	0	20	161	0	1	1
218	1	7	88	0	20	161	0	1	0
218	1	15	82	0	20	161	0	1	0
218	2	13	43	0	20	161	0	1	1
218	2	14	35	0	20	161	0	1	1
219	1	6	97	0	20	161	0	1	0
219	1	4	93	0	20	161	0	1	0
219	2	3	62	0	20	161	0	1	1
